scheme,compression_bits_d,entropy_after,kl_divergence_compress,stat_dist_compress,mi_secret_compress,mean_rounding_error,std_rounding_error,mi_secret_rounding
Kyber512,10,8.491077294862718,1.5089226843983574,0.6171875,2.044994449869039,-0.060546875,0.9531229988452353,0.030665104664001852
Kyber512,11,8.734815551736684,2.265184396117117,0.78173828125,2.206184537785017,0.013671875,0.6264113702943014,0.017307026916027812
Kyber512,4,3.9800032260851435,0.019996773914856575,0.0703125,0.16624325796228145,2.099609375,60.492766870076395,1.2592449359072404
Kyber512,5,4.958752379026607,0.041247620973393365,0.08984375,0.2972029895168644,-2.7890625,29.93382084484194,0.8404804637544636
Kyber768,10,8.937304281232787,1.062695703068477,0.4736328125000001,1.5967794135934703,-0.060546875,0.9531229988452353,0.030665104664001852
Kyber768,11,9.204014030629633,1.7959859237857831,0.693359375,1.7921937365552054,0.013671875,0.6264113702943014,0.017307026916027812
Kyber768,4,3.982808416704491,0.017191583295509228,0.06380208333333334,0.04661230490092727,2.099609375,60.492766870076395,1.2592449359072404
Kyber768,5,4.964699768462154,0.035300231537846276,0.09244791666666666,0.104832495588421,-2.7890625,29.93382084484194,0.8404804637544636
Kyber1024,10,9.19397726166899,0.8060227264496245,0.361328125,1.4879518766201016,-0.060546875,0.9531229988452353,0.030665104664001852
Kyber1024,11,9.528923864689048,1.4710760955262607,0.611328125,1.725941240855839,0.013671875,0.6264113702943014,0.017307026916027812
Kyber1024,4,3.989607959189108,0.010392040810891873,0.0537109375,0.03367812395724634,2.099609375,60.492766870076395,1.2592449359072404
Kyber1024,5,4.982843448197352,0.017156551802647517,0.0615234375,0.08696802420326755,-2.7890625,29.93382084484194,0.8404804637544636
