scheme,function,transformation,parameter,q,gamma2,eta,entropy_bits,entropy_r0,max_entropy_bits,max_entropy,tvd,chi2_stat,chi2_pvalue,chi2_p_value,empirical_p_value,mi_mm_display,mutual_info_s1,mutual_info_s2,mutual_information,status,is_safe,num_samples,interpretation,experiment_id,suite,fdr_q_value,family_scope,d,entropy_t0
ML-DSA-44,Decompose,Decompose,"gamma2=95232, eta=2",8380417,95232.0,2,13.232010424548584,13.232010424548584,17.539166385721888,17.539166385721888,0.9489512508859895,191169.133,0.126694681979326,0.126694681979326,0.9201596806387226,0.0,0.0,0.0,0.0,PASS,True,10000,Low-part r0 reveals no secret leakage (MI=0.000000 bits) and retains uniform distribution (p=0.1267) [PASS],DSA_Decompose_g2_95232,dsa,1.0,leakage_global,,
ML-DSA-44,Power2Round,Power2Round,"d=13, eta=2",8380417,,2,12.320633443569996,,13.0,13.0,0.35806171875,8130.5344,0.6802406793665098,0.6802406793665098,0.500998003992016,0.002230670988461095,0.0,0.0,0.0,PASS,True,10000,"Power2Round low-part t0 reveals no secret leakage (MI_s1=0.000000, MI_s2=0.000000 bits) and retains uniform distribution (p=0.6802) [PASS]",DSA_Power2Round_d_13,dsa,1.0,leakage_global,13.0,12.320633443569996
ML-DSA-44,MakeHint,MakeHint,"gamma2=95232, eta=2",8380417,95232.0,2,0.08474502332453768,,1.0,,0.48939999999999995,109.0943396226415,0.2292383179701906,0.2292383179701906,0.14570858283433133,0.00022267528881086382,0.00022267528881081752,0.0,0.00022267528881081752,PASS,True,10000,"MakeHint/UseHint h vector reveals no secret leakage (MI_s1=0.000223, MI_s2=0.000000 bits) and retains uniform chunk distribution (p=0.2292) [PASS]",DSA_MakeHint_g2_95232,dsa,0.5585495675316035,leakage_global,,
